Id,TagName,Count,ExcerptPostId,WikiPostId
1,equipment,271,4155,4154
2,fermentation,777,4072,4071
4,yeast,672,4153,4152
5,head-retention,16,,
8,mead,157,4065,4064
9,temperature,168,6490,6489
11,hydrometer,46,16658,16657
13,cider,274,4169,4168
14,ale,71,22249,22248
15,cloudy,22,,
16,beer,606,4099,4098
18,decoction,8,6525,6524
19,mash,179,4080,4079
20,techniques,231,4200,4199
21,holiday,3,,
23,fruit,109,16652,16651
24,spices,16,,
28,bottles,65,4161,4160
29,extract,91,14882,14881
30,cost,5,,
35,hops,276,4074,4073
36,chocolate,13,,
37,stout,75,9755,9754
38,boil,134,4850,4849
40,primary,43,584,583
41,bucket,17,,
42,carboy,56,5585,5584
43,bulk,2,,
44,grain,57,6581,6580
45,storage,85,16700,16699
46,all-grain,196,4846,4845
47,water,107,6436,6435
48,wort,129,4848,4847
49,chilling,38,22255,22254
50,chiller,14,,
51,cooling,28,,
54,lager,79,6438,6437
56,ibu,20,,
57,alpha-acids,14,17431,17430
58,best-practices,4,,
60,racking,49,6434,6433
62,log,2,,
65,secondary-fermentation,157,4364,4363
66,ingredients,133,4198,4197
67,stuck-fermentation,89,6425,6424
70,bittering,20,,
72,barleywine,13,4844,4843
73,aging,69,22226,22225
74,bottle-conditioning,156,5652,5651
75,bottling,309,4157,4156
76,labels,13,,
77,serving,13,,
78,wine,242,4171,4170
79,acidity,15,18857,18856
85,wild-yeast,26,6474,6473
87,dry-yeast,8,6579,6578
89,sterilization,14,,
90,contamination,112,6428,6427
91,dry-hopping,10,,
92,hopback,4,,
93,carbonation,301,4196,4195
95,kegs,19,,
96,kegging,190,4856,4855
99,cleaning,98,14935,14934
102,bacteria,25,,
104,yeast-starters,125,4489,4488
105,procedure,5,,
106,extract-plus-grains,24,,
108,brewing,130,17404,17403
109,recipe-formulation,64,17157,17156
111,temperature-control,74,22247,22246
114,coffee,21,,
119,lambics,13,5626,5625
120,caps,10,,
122,kits,58,17406,17405
123,brewery,6,,
125,alcohol-content,81,17440,17439
126,priming,77,14959,14958
128,record-keeping,3,,
129,root-beer,10,,
132,malt,94,9412,9411
133,2-row,3,17429,17428
135,base-malt,9,9414,9413
139,permanent,2,,
140,spent-grain,6,,
141,oak,20,,
142,oxygenation,30,6432,6431
143,barrel,16,,
144,commercial,10,,
145,starsan,27,,
146,shipping,6,,
148,aroma,48,17410,17409
150,saison,26,,
151,original-gravity,93,5654,5653
153,smoke,7,,
154,ipa,84,14880,14879
155,recipe,134,4163,4162
156,dme,21,16698,16697
158,partial-mash,22,5610,5609
159,sparge,43,7002,7001
161,irish-moss,16,24548,24547
162,science,8,,
164,recipe-scaling,30,,
165,adjuncts,41,7863,7862
166,fermenter,48,4996,4995
167,lauter,10,,
168,efficiency,46,6466,6465
170,attenuation,30,5656,5655
171,high-gravity,38,6470,6469
172,bread,4,,
174,reuse,8,,
176,full-boil,6,,
179,red-wine,22,,
180,barley,8,22212,22211
181,wheat,24,,
183,electric,15,,
188,boil-kettle,25,22234,22233
189,oxiclean,7,,
191,rye,17,18859,18858
192,grow,9,,
193,calculations,41,5587,5586
197,software,14,,
198,club,2,,
201,environment,6,,
202,co2,64,6547,6546
206,soda,10,,
208,nuts,4,,
212,sugar,101,18861,18860
213,small-batch,34,10858,10857
218,bjcp,13,,
219,campden,20,,
220,glass,10,,
221,secondary,87,6529,6528
222,foam,29,,
224,frozen,5,,
227,mashing,57,17416,17415
228,mill,16,,
229,krausen,34,22243,22242
230,primary-fermentation,102,6527,6526
232,color,28,,
236,conversion,23,,
237,banana,8,,
239,cork,6,,
241,beer-tools,8,,
243,sweetness,30,,
244,conditioning,58,6557,6556
245,priming-sugar,55,6583,6582
246,alternatives,11,5449,5448
248,taste,48,17412,17411
251,additives,34,,
252,flavor,129,4202,4201
253,pairing,5,,
255,food,4,,
256,fermentation-temperature,183,5606,5605
257,bitterness,35,22228,22227
259,first-time,19,,
260,buying,5,,
265,process,58,6478,6477
266,belgian,34,,
268,bacon,2,,
269,lemonade,8,,
271,red-ale,7,,
273,sanitation,152,6488,6487
276,judging,4,,
277,beer-styles,58,,
278,imperial,14,,
281,potassium-meta-bisulfite,8,,
282,potassium-sorbate,6,,
284,k-meta,2,,
285,capping,21,22259,22258
287,skunk,14,4097,4096
292,dry-hop,95,5612,5611
293,keg,108,5966,5965
298,competition,11,,
299,smack-pack,7,6472,6471
300,boilover,8,,
301,problems,16,,
302,steeping,37,17414,17413
303,kettle,29,11009,11008
306,cellaring,8,,
307,refrigerator,13,,
311,bourbon,10,,
312,packaging,21,,
314,specialty-malt,15,,
